onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	99999	0
0.0	0.001	New Segment/	99999	0
12.129	0.0	Stimulus/S 32	32	12129
12.129	0.001	Stimulus/S 32	32	12129
17.713	0.0	Stimulus/S 11	11	17713
17.713	0.001	Stimulus/S 11	11	17713
18.34	0.0	Stimulus/S 31	31	18340
18.34	0.001	Stimulus/S 31	31	18340
24.071	0.0	Stimulus/S 11	11	24071
24.071	0.001	Stimulus/S 11	11	24071
25.004	0.0	Stimulus/S 32	32	25004
25.004	0.001	Stimulus/S 32	32	25004
30.868	0.0	Stimulus/S 11	11	30868
30.868	0.001	Stimulus/S 11	11	30868
31.907	0.0	Stimulus/S 31	31	31907
31.907	0.001	Stimulus/S 31	31	31907
37.705	0.0	Stimulus/S 11	11	37705
37.705	0.001	Stimulus/S 11	11	37705
38.438	0.0	Stimulus/S 32	32	38438
38.438	0.001	Stimulus/S 32	32	38438
43.982	0.0	Stimulus/S 11	11	43982
43.982	0.001	Stimulus/S 11	11	43982
45.008	0.0	Stimulus/S 31	31	45008
45.008	0.001	Stimulus/S 31	31	45008
50.499	0.0	Stimulus/S 11	11	50499
50.499	0.001	Stimulus/S 11	11	50499
51.339	0.0	Stimulus/S 31	31	51339
51.339	0.001	Stimulus/S 31	31	51339
56.79	0.0	Stimulus/S 11	11	56790
56.79	0.001	Stimulus/S 11	11	56790
57.723	0.0	Stimulus/S 32	32	57723
57.723	0.001	Stimulus/S 32	32	57723
63.121	0.0	Stimulus/S 11	11	63121
63.121	0.001	Stimulus/S 11	11	63121
63.747	0.0	Stimulus/S 31	31	63747
63.747	0.001	Stimulus/S 31	31	63747
69.238	0.0	Stimulus/S 11	11	69238
69.238	0.001	Stimulus/S 11	11	69238
69.771	0.0	Stimulus/S 31	31	69771
69.771	0.001	Stimulus/S 31	31	69771
75.475	0.0	Stimulus/S 11	11	75475
75.475	0.001	Stimulus/S 11	11	75475
76.502	0.0	Stimulus/S 31	31	76502
76.502	0.001	Stimulus/S 31	31	76502
82.326	0.0	Stimulus/S 11	11	82326
82.326	0.001	Stimulus/S 11	11	82326
83.059	0.0	Stimulus/S 32	32	83059
83.059	0.001	Stimulus/S 32	32	83059
88.483	0.0	Stimulus/S 11	11	88483
88.483	0.001	Stimulus/S 11	11	88483
89.509	0.0	Stimulus/S 31	31	89509
89.509	0.001	Stimulus/S 31	31	89509
94.96	0.0	Stimulus/S 11	11	94960
94.96	0.001	Stimulus/S 11	11	94960
95.787	0.0	Stimulus/S 32	32	95787
95.787	0.001	Stimulus/S 32	32	95787
101.158	0.0	Stimulus/S 11	11	101158
101.158	0.001	Stimulus/S 11	11	101158
101.798	0.0	Stimulus/S 31	31	101798
101.798	0.001	Stimulus/S 31	31	101798
107.355	0.0	Stimulus/S 11	11	107355
107.355	0.001	Stimulus/S 11	11	107355
107.888	0.0	Stimulus/S 32	32	107888
107.888	0.001	Stimulus/S 32	32	107888
113.339	0.0	Stimulus/S 11	11	113339
113.339	0.001	Stimulus/S 11	11	113339
114.379	0.0	Stimulus/S 31	31	114379
114.379	0.001	Stimulus/S 31	31	114379
119.91	0.0	Stimulus/S 11	11	119910
119.91	0.001	Stimulus/S 11	11	119910
120.643	0.0	Stimulus/S 32	32	120643
120.643	0.001	Stimulus/S 32	32	120643
126.374	0.0	Stimulus/S 11	11	126374
126.374	0.001	Stimulus/S 11	11	126374
127.2	0.0	Stimulus/S 32	32	127200
127.2	0.001	Stimulus/S 32	32	127200
132.958	0.0	Stimulus/S 11	11	132958
132.958	0.001	Stimulus/S 11	11	132958
133.704	0.0	Stimulus/S 32	32	133704
133.704	0.001	Stimulus/S 32	32	133704
139.368	0.0	Stimulus/S 11	11	139368
139.368	0.001	Stimulus/S 11	11	139368
147.085	0.0	Stimulus/S 31	31	147085
147.085	0.001	Stimulus/S 31	31	147085
152.629	0.0	Stimulus/S 11	11	152629
152.629	0.001	Stimulus/S 11	11	152629
153.656	0.0	Stimulus/S 31	31	153656
153.656	0.001	Stimulus/S 31	31	153656
159.613	0.0	Stimulus/S 11	11	159613
159.613	0.001	Stimulus/S 11	11	159613
160.653	0.0	Stimulus/S 31	31	160653
